Jeu,Player,Role,Response,evaluation
1,Claire,Villageois,"Hold on a second, are we forgetting about Lucas? They've been playing the 'I'm just a simple villager' card a bit too much for my liking. I'm sure they're trying to make it seem like he's a bit of a jerk, but I'm just not sure it's the case. I think he's just a nice guy who just wants to have fun, and I think he's just",TRUE
1,Thomas,Loups-Garous,"You will regret it, I'm not the werewolf. I'm a man.""

""I'm not a werewolf. I'm a man.""

""I'm not a werewolf. I'm a man.""

""I'm not a werewolf. I'm a man.""

""I'm not a werewolf. I'm a man.""

""I'm not a were",FALSE
1,Emma,Villageois,"i suspect that Claire is the werewolf.

The next day, Claire is seen at the hospital, where she is seen to be crying. She is later seen in the hospital, where she is seen to be crying.

She is seen at the hospital, where she is seen to be crying.

She is seen at the hospital, where she is seen to be crying.

She is seen",FALSE
1,Lucas,Loups-Garous,I am innocent... I am a simple villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am a villager. I am,FALSE
1,Laura,Voyante,"I think Thomas is the werewolf. I think he's the one who's going to kill her. I think he's the one who's going to kill her.""

""I think he's the one who's going to kill her,"" said the man. ""I think he's the one who's going to kill her.""

""I think he's the one who's going to kill her,"" said",TRUE
1,Antoine,Docteur,"Well, I have my suspicions. Lucas was awfully quiet during the accusations last night. I think it's a classic werewolf behavior if you ask me. I think he's just trying to keep his head down and not get too involved. He's not ready to make a big deal out of it.""

""I think he's just trying to keep his head down and not get too involved. He's not ready",TRUE
1,Marie,Villageois,"looks like we've got a tie between Antoine and Lucas. Loup Garou, reveal yourself!

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–

–",TRUE
1,Claire,Villageois,"i suspect that Marie is the werewolf.

In the novel, Marie is described as a ""witch"" who is ""a powerful witch who has been living with the Beast for many years."" The Beast is described as a ""monster of the night"" who is ""a creature of the night.""

In the film, Marie is described as a ""witch"" who is ""a powerful witch who has been living",FALSE
1,Thomas,Loups-Garous,"You will regret it, I'm not the werewolf.

You will regret it, I'm not the werewolf.

You will regret it, I'm not the werewolf.

You will regret it, I'm not the werewolf.

You will regret it, I'm not the werewolf.

You will regret it, I'm not the werewolf.

You",FALSE
1,Emma,Villageois,"looks like we've got a tie between Claire and Thomas. Loup Garou, reveal yourself!

Claire: I'm Claire. I'm the daughter of the French ambassador to the United States. And I'm here to bring you the news that Thomas has been kidnapped.

Thomas: I've been kidnapped!

Claire: Thomas is a good guy. I'm sure he's been kidnapped",TRUE
2,Claire,Voyante,I think Lucas is the werewolf. I think he's the best werewolf in the world. I think he's the best werewolf in the world. I think he's the best werewolf in the world. I think he's the best werewolf in the world. I think he's the best werewolf in the world. I think he's the best werewolf in the world. I think he's the,TRUE
2,Thomas,Villageois,"I agree with Claire. Emma's sudden interest in protecting the villagers seems a bit suspicious to me.

""I think it's a good idea to have a little fun with it. I'll be the one to decide what to do next.""

""I agree with you.""

""I'll be the one to decide what to do next. I'll be the one to decide what to do next.""",TRUE
2,Emma,Loups-Garous,"in my opinion Marie is the werewolf. She is a werewolf, but she is also a human, and she is a human woman. She is also a werewolf, but she is also a human woman. She is also a human woman, but she is also a human woman. She is also a human woman, but she is also a human woman. She is also a human woman, but she is also",FALSE
2,Lucas,Loups-Garous,in my opinion Laura is the werewolf. She is a werewolf and she is a werewolf girl. She is also a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is a werewolf. She is,FALSE
2,Laura,Docteur,"I decide to protect Marie. I don't want to hurt her, but I can't let her die.""

""I'm sorry,"" I said. ""I'm sorry for what you did to her. I'm sorry for what you did to me. I'm sorry for what you did to the people you hurt. I'm sorry for what you did to me. I'm sorry for what you did to the",TRUE
2,Antoine,Villageois,"i suspect that Emma is the werewolf.

The next day, Emma is in the library, reading a book about the history of the werewolves. She sees a picture of a werewolf and asks if it is her. The werewolf says yes and Emma says that she is the werewolf. The werewolf then tells Emma that she is the werewolf and that she must kill her. Emma then says that",FALSE
2,Marie,Villageois,"Hold on a second, are we forgetting about Emma? They've been playing the 'I'm just a simple villager' card a bit too much for my liking.

I'm not sure how much of this is because I'm a little too cynical, but I think it's a bit too much. I think they're trying to make me feel like I'm a little too stupid to be a hero, and",TRUE
2,Claire,Voyante,"I think Emma is the werewolf. She's got a lot of power, and she's got a lot of strength. She's got a lot of strength that she's using to get her way. She's got a lot of strength that she's using to get her way.

""She's got a lot of power that she's using to get her way. She's got a lot of strength that she",TRUE
2,Thomas,Villageois,"I agree with Claire. Emma's sudden interest in protecting the villagers seems a bit suspicious to me.

Claire: I'm not sure why you'd want to protect them.

Emma: I don't know. Maybe you're just trying to protect them from the villagers.

Claire: I'm not sure I understand you.

Emma: I'm not sure I understand you either",TRUE
2,Emma,Loups-Garous,"Claire is the voyante i think ive ever seen. She's a little bit of a tomboy, but she's not a tomboy at all. She's a tomboy who's just a tomboy. She's not a tomboy who's a tomboy. She's a tomboy who's a tomboy. She's a tomboy who's a tomboy. She's a tomboy who",TRUE
3,Claire,Loups-Garous,"in my opinion Marie is the werewolf. She's a werewolf, but she's not a werewolf like the other werewolves. She's a werewolf with a soul. She's not a werewolf like the other werewolves. She's a werewolf with a soul. She's not a werewolf like the other werewolves. She's a werewolf with a soul. She's not a werewolf",FALSE
3,Thomas,Voyante,"I think Antoine is the werewolf. He's the one who's going to be the most interesting character.""

The showrunner also revealed that the show will be set in a world where vampires have taken over the world, and that the show will explore the impact of that change on the characters.

""I think the world is changing, and I think that's going to be a big part of the",TRUE
